"town","townID","totpixels","openwater","devopen","devlow","devmed","devhigh","barrenrock","decidforest","evergrnfor","mixedforest","shrubscrub","grassherb","pasturehay","cultcrop","woodywet","emergherbwet","RPopenwater","RPdevopen","RPdevlow","RPdevmed","RPdevhigh","RPbarrenrock","RPdecidforest","RPevergrnfor","RPmixedforest","RPshrubscrub","RPgrassherb","RPpasturehay","RPcultcrop","RPwoodywet","RPemergherbwet","Cforest","Clowdev","Chighdev","Cgrass","CPforest","CPshrubscrub","CPlowdev","CPhighdev","CPgrass","CPemherbwet","CPwoodywet","CPopenwater","nmds2011.1","nmds2011.2"
"MILFORD",185,43239,229,4964,6561,9371,2706,36,11360,149,2425,120,340,321,4,4332,321,0.005296145,0.114803765,0.151738014,0.216725641,0.062582391,0.000832582,0.26272578,0.003445963,0.056083628,0.002775272,0.007863272,0.007423853,9.25e-05,0.100187331,0.007423853,13934,11525,12077,661,0.322255371,0.002775272,0.266541779,0.279308032,0.015287125,0.007423853,0.100187331,0.005296145,0.156252353,0.166388266
"GRANBY",111,80790,629,3493,2752,630,84,462,25395,6168,16052,494,665,7529,1265,14815,357,0.007785617,0.043235549,0.034063622,0.007797995,0.001039733,0.00571853,0.314333457,0.076346082,0.198687956,0.006114618,0.008231217,0.093192227,0.015657878,0.183376656,0.004418864,47615,6245,714,8194,0.589367496,0.006114618,0.077299171,0.008837727,0.101423443,0.004418864,0.183376656,0.007785617,-0.204454408,-0.104648369
"SOMERVILLE",274,11891,9,63,316,4898,6466,58,1,12,0,0,44,3,6,4,11,0.000756875,0.005298125,0.02657472,0.411908166,0.543772601,0.004877639,8.41e-05,0.001009167,0,0,0.003700278,0.000252292,0.000504583,0.000336389,0.000925069,13,379,11364,47,0.001093264,0,0.031872845,0.955680767,0.003952569,0.000925069,0.000336389,0.000756875,0.941045443,0.229509995
"UXBRIDGE",304,87100,857,5857,6078,4068,826,1141,35672,2158,12950,537,1445,4017,342,10510,642,0.009839265,0.067244546,0.06978186,0.046704937,0.009483352,0.013099885,0.409552239,0.024776119,0.148679679,0.006165327,0.016590126,0.046119403,0.003926521,0.120665901,0.007370838,50780,11935,4894,5462,0.583008037,0.006165327,0.137026406,0.056188289,0.062709529,0.007370838,0.120665901,0.009839265,-0.104143008,-0.109060343
"MONSON",191,128882,484,6801,2591,870,200,473,65105,7705,25704,536,1235,5388,182,10933,675,0.003755373,0.0527692,0.020103661,0.006750361,0.001551807,0.003670024,0.505152,0.059783368,0.199438246,0.004158843,0.009582409,0.041805683,0.001412144,0.084829534,0.005237349,98514,9392,1070,6623,0.764373613,0.004158843,0.07287286,0.008302168,0.051388091,0.005237349,0.084829534,0.003755373,-0.177842184,-0.298147881
"ADAMS",4,66079,23,3407,2276,2440,528,1432,25705,1547,20742,239,1926,4346,311,1046,111,0.000348068,0.051559497,0.034443621,0.036925498,0.007990436,0.02167103,0.389004071,0.023411371,0.313897002,0.003616883,0.02914693,0.06576976,0.004706488,0.015829537,0.001679808,47994,5683,2968,6272,0.726312444,0.003616883,0.086003117,0.044915934,0.094916691,0.001679808,0.015829537,0.000348068,-0.093002557,-0.29640882
"BARRE",21,128441,776,5928,2323,695,121,784,37372,15825,35243,1121,1472,10134,99,15311,1237,0.006041685,0.046153487,0.018086125,0.005411045,0.000942067,0.00610397,0.29096628,0.123208321,0.274390576,0.008727743,0.011460515,0.07890004,0.000770782,0.119206484,0.009630881,88440,8251,816,11606,0.688565178,0.008727743,0.064239612,0.006353112,0.090360555,0.009630881,0.119206484,0.006041685,-0.188804269,-0.219487864
"PETERSHAM",234,196391,39750,3411,758,69,3,266,44248,29093,57031,449,1341,3160,133,15068,1611,0.20240235,0.017368413,0.003859647,0.00035134,1.53e-05,0.001354441,0.22530564,0.148138153,0.290395181,0.002286255,0.006828215,0.01609035,0.00067722,0.076724493,0.008203024,130372,4169,72,4501,0.663838974,0.002286255,0.02122806,0.000366616,0.022918566,0.008203024,0.076724493,0.20240235,0.002571722,-0.317111751
"ROYALSTON",255,122435,1868,4035,631,71,8,125,17833,33987,43804,574,965,1962,24,15273,1275,0.015257075,0.032956263,0.005153755,0.0005799,6.53e-05,0.00102095,0.145652795,0.277592192,0.357773512,0.004688202,0.007881733,0.01602483,0.000196022,0.124743742,0.010413689,95624,4666,79,2927,0.7810185,0.004688202,0.038110018,0.00064524,0.023906563,0.010413689,0.124743742,0.015257075,-0.230183118,-0.301945914
"ORANGE",223,103623,2355,5565,4691,2231,435,515,10802,37007,27323,381,1055,4207,331,5806,919,0.022726615,0.053704293,0.045269873,0.021529969,0.00419791,0.004969939,0.104243266,0.357131139,0.263676983,0.00367679,0.010181137,0.040599095,0.003194272,0.056030032,0.008868687,75132,10256,2666,5262,0.725051388,0.00367679,0.098974166,0.025727879,0.050780232,0.008868687,0.056030032,0.022726615,-0.130589766,-0.269060845
